userid,date,hour,points
371449a2-5aaa-4d98-ae6f-3b7006e76ccf,6/6/19,19,-1401
e7c99a20-6739-4f7a-adde-c380d360887b,6/11/19,20,-401
e7c99a20-6739-4f7a-adde-c380d360887b,6/11/19,19,-851
be5488aa-32c4-4897-a081-13de734c3a80,7/5/19,20,24
dfdc155a-39ac-4f7e-918f-d8afc9ef8428,7/5/19,20,77
371449a2-5aaa-4d98-ae6f-3b7006e76ccf,6/28/19,20,498
42a0f8f1-bdfd-4ec0-8840-7bb2e08c3891,6/11/19,19,715
ffd33189-0e9a-40a1-9644-893cee8a1f50,6/10/19,20,-1666
8dc2293c-4db1-4e95-94cf-7040df69feb4,6/5/19,20,-162
2a4fceec-5c2e-47e9-b986-eef5f7ec7bb1,6/10/19,20,62
a5060735-2a65-4f2d-b068-0371f04a34bb,6/19/19,19,-312
3b73de19-ba53-4db0-a84a-29fe7ee9ddcc,6/11/19,19,1925
ffd33189-0e9a-40a1-9644-893cee8a1f50,6/11/19,19,-746
298a7fc2-3fa2-4712-b843-a6c0cfc11f4e,6/10/19,19,-35
3b73de19-ba53-4db0-a84a-29fe7ee9ddcc,6/19/19,20,247
ec62581d-4c05-4943-8293-d1584fd9fd4a,6/5/19,19,327
371449a2-5aaa-4d98-ae6f-3b7006e76ccf,5/29/19,18,-904
ffd33189-0e9a-40a1-9644-893cee8a1f50,6/5/19,19,317
39a20bcb-a77b-448e-8635-a4064f52eedf,6/19/19,20,-28
9c6389a8-d335-4ca4-bdac-deac9b19f44d,6/11/19,20,-65
ec62581d-4c05-4943-8293-d1584fd9fd4a,6/28/19,19,156
42a0f8f1-bdfd-4ec0-8840-7bb2e08c3891,6/19/19,20,4
86e9a72c-c381-440e-8b40-ed890809358e,5/20/19,19,5
7c41b649-58eb-4b0e-a702-d375cac1cc51,5/29/19,18,14
03530c8d-7ea0-4743-80b8-0a5b77a3a2e4,7/17/19,19,13
9a13911a-557c-4a1a-adf1-39561741a2ab,7/24/19,19,2056
1dd7cf9d-33bd-4c39-a675-b12910af1e6d,7/12/19,20,-4675
9df8b649-0a06-4264-aa37-a5c27fc95d11,7/24/19,19,195
9a13911a-557c-4a1a-adf1-39561741a2ab,7/17/19,19,2908
dfdc155a-39ac-4f7e-918f-d8afc9ef8428,7/15/19,19,110
53a0bbce-cb80-420e-8194-e6df835c156e,8/5/19,19,195
298a7fc2-3fa2-4712-b843-a6c0cfc11f4e,8/10/19,19,1561
9df8b649-0a06-4264-aa37-a5c27fc95d11,3/8/19,19,-604
9df8b649-0a06-4264-aa37-a5c27fc95d11,3/22/19,19,113
42a0f8f1-bdfd-4ec0-8840-7bb2e08c3891,3/18/19,19,179
7c41b649-58eb-4b0e-a702-d375cac1cc51,4/2/19,20,46
f072fcde-6466-4e10-b17c-de169c11fa1f,3/18/19,19,-278
72dfff72-54dd-4ce6-ba57-3baf40a951d9,2/1/19,19,860
dfdc155a-39ac-4f7e-918f-d8afc9ef8428,3/18/19,19,306
9a13911a-557c-4a1a-adf1-39561741a2ab,3/25/19,20,119
e21a08c9-a466-4393-a5e2-97a511bf6b4f,4/23/19,20,50
298a7fc2-3fa2-4712-b843-a6c0cfc11f4e,3/25/19,20,796
a5060735-2a65-4f2d-b068-0371f04a34bb,5/13/19,20,-47
9c6389a8-d335-4ca4-bdac-deac9b19f44d,4/5/19,19,1
4297f22d-1889-4b5b-80bb-cdaa6a8809bd ,3/8/19,18,844
39a20bcb-a77b-448e-8635-a4064f52eedf,5/3/19,20,-41
39f5b5ea-a2a9-4837-ae5a-4efc190a6d53,1/7/19,19,22
1dd7cf9d-33bd-4c39-a675-b12910af1e6d,3/25/19,20,2040
2a4fceec-5c2e-47e9-b986-eef5f7ec7bb1,1/15/19,18,851
7c41b649-58eb-4b0e-a702-d375cac1cc51,2/6/19,20,94
86e9a72c-c381-440e-8b40-ed890809358e,2/15/19,18,101
2a4fceec-5c2e-47e9-b986-eef5f7ec7bb1,2/21/19,18,243
402f5ad7-a8c2-49ef-89f4-56dce2943eaa,2/6/19,19,-632
"5ddbc2c6-6e9b-4f0b-af64-487074332862""",4/1/19,20,"""732"""
fd11ebf7-ebc3-4d6d-bdd9-765f3dbb9418,3/28/19,20,-544
2a4fceec-5c2e-47e9-b986-eef5f7ec7bb1,5/14/19,19,107
7c41b649-58eb-4b0e-a702-d375cac1cc51,2/15/19,19,467
39f5b5ea-a2a9-4837-ae5a-4efc190a6d53,4/1/19,20,-73
c987b8a9-6a46-4094-8a6c-45f680113bd3,4/17/19,19,-91
38761ac5-454d-4605-b8a9-4a9be2943261,8/15/19,18,732
4297f22d-1889-4b5b-80bb-cdaa6a8809bd,8/21/19,19,1413
37e82f9c-25da-4c88-959a-58ed8af322b1,8/22/19,18,3286
9a13911a-557c-4a1a-adf1-39561741a2ab,8/23/19,19,2719
3b5d1330-8f5e-4dd9-9106-315503eedbe7,8/25/19,19,54
ec62581d-4c05-4943-8293-d1584fd9fd4a,8/25/19,18,92
58027d1d-79e3-414b-8fe8-9f6c5a6cffde,8/27/19,18,779
7c41b649-58eb-4b0e-a702-d375cac1cc51,8/27/19,20,9
4297f22d-1889-4b5b-80bb-cdaa6a8809bd,9/13/19,19,-235
